id,menu_name,price,restaurant_id
1,35치킨 닭튀김 카레라이스,10000,1
2,타코라이스,10000,1
3,돼지고기쫄쫄면,9900,3
4,[신메뉴] 꽃피자(L),18900,4
5,[신메뉴] 대왕페퍼로니피자(L),18900,4
6,반미터피자[1타4피],30000,5
7,오굿박스2,28900,5
8,살얼음 생맥주,5000,6
9,88타워화채,11900,6
10,한마리통닭,9000,7
11,허니마늘순살파닭,18000,7
12,찰떡궁합 떡볶이 세트,8700,8
13,참치마요,1900,8
14,황먼지 소,8000,9
15,무뼈황먼지 소,8000,9
16,Anam I.P.A,7000,10
17,유자비어,7000,10
18,결찌플래터,25000,11
19,폴드포크플래터,19000,11
20,커리/난/밥 무한리필,10000,12
21,1인치킨세트,15000,12
22,김치찌개,8000,14
23,만두순두부찌개,8000,14
24,해물차돌짬뽕,11000,15
25,짜장면,6000,15
26,간짜장,7000,15
27,멸치국수,6000,16
28,비빔국수,7000,16
29,닭곰탕,9000,17
30,소머리곰탕,9000,17
31,고대서서갈비 1대(220g),16000,19
32,생등심 450g + 생소갈비살 450g,63000,19
33,고래돈까스,11000,20
34,뷔페식,5000,22
35,0셋트 탕수육+짜장1,19000,23
36,짜장면,6000,23
37,짬뽕,7000,23
38,라볶이,5500,24
39,참치김밥,4500,24
40,돈까스 카레,6500,25
41,스페셜 카레,9000,25
42,콩 생삼겹170g,16000,26
43,콩 생목살170g,16000,26
44,양고기 소문,9900,27
45,양고기 케밥,7900,27
46,백김치삼겹볶음,13000,28
47,삼겹두루치기,13000,28
48,만두국밥,6000,29
49,소고기국밥,6000,29
50,블랙밀크티+펄,4200,30
51,타로밀크티+펄,4200,30
52,조개찜 (소),35000,31
53,광어 (소),15000,31
54,강자탕(뼈3개),9000,32
55,우거지감자탕,10000,32
56,반반점보윙(레드/허니),19000,33
57,허니순살치면세트,25000,33
58,한돈급냉삼겹살,14000,34
59,한돈극냉특알목살,14000,34
60,소고기국밥,8500,35
61,소고기전,10000,35
62,멸치국수,6000,36
63,오뎅멸치국수,7000,36
64,꼴뚜기 데침,19000,37
65,칼국수,6000,37
66,잔치국수,6000,38
67,보쌈정식,9900,38
68,스페셜 팟퐁커리,31000,39
69,베트남 소고기 쌀국수,13000,39
70,승란,27000,39
71,제육볶음,5500,40
72,금복찌개,5500,40
73,김가네 김밥,3500,41
74,쌀떡볶이,5000,41
75,보쌈(대),27000,42
76,족발(소),25000,42
77,야채김밥,2000,43
78,새우날치알김밥,4500,43
79,스페셜정식,8500,44
80,참치김밥,4000,44
81,스페셜 정식,8500,44
82,아메리카노,4200,45
83,까페라떼,4800,45
84,숯불치킨,18000,46
85,양지쌀국수,8900,48
86,분리우,10400,48
87,꿀삐닭강정 1호상자,7000,49
88,어니언크림닭강정 1호상자,8500,49
89,돼지김치구이,18800,49
90,점심특선 볶음밥,4800,49
91,돼지김치구이,18800,50
92,새우튀김,16000,51
93,해물파전,19000,51
94,칼국수,5000,52
95,수제비,5000,52
96,순살안동찜닭 중,25000,53
97,매콤순살고추장찜닭 중,25000,53
98,짬뽕,9000,54
99,노랑 3종 세트,21000,55
100,미트마니아 버거세트,7900,56
101,NBB시그니처 버거세트,6300,56
102,늑대한상 1kg,58000,57
103,양한마리 1kg,58000,57
104,(점심만 가능)늘 불고기 정식,9000,58
105,돈코츠 라멘,7900,59
106,카라구치 라멘,7900,59
107,크뽕,10900,60
108,로뽕,11900,60
109,돼지갈비,12000,61
110,생삼겹살,11000,61
111,소고기김밥,5000,62
112,참치김밥,4000,62
113,Pork,8000,63
114,Beef,8500,63
115,Sea Food,8500,63
116,돼지불고기 160g,16000,64
117,생껍질,10000,64
118,아메리카노,3500,65
119,카페라떼,4000,65
120,닭한마리,32000,66
121,닭볶음탕,38000,66
122,나가사끼 짬뽕탕,25000,67
123,철판쭈꾸미볶음+계란찜대표,25000,67
124,칵테일,7000,68
125,생맥주,5000,68
126,소유라멘,9000,69
127,무뼈 닭발,14000,70
128,통닭발,10000,70
129,애플크럼블,6800,71
130,아메리카노,4000,71
131,탕수육(소),27000,72
132,고기자장면,8000,72
133,[ICE]아메리카노,1800,73
134,카페라떼,2700,73
135,리코타깔죠네 샐러드,22500,74
136,버팔로마르게리타,21000,74
137,피칸테,25000,74
138,아메리카노,4000,75
139,바닐라 라떼,4500,75
140,브리스킷 바비Q 더블치즈엣지 L,31920,76
141,윈터 트러플 크림 파스타,9800,76
142,1인보쌈 M,8900,77
143,1인족발 M,9500,77
144,발전소돈까스,7500,78
145,치즈돈까스,9000,78
146,김치찌개,7000,79
147,햄찌개,7000,79
148,마라떡볶이,16000,80
149,엽기메뉴,14000,80
150,칡 비빔냉면+수제등심돈까스,10500,81
151,고기칼국수,7500,81
152,설렁탕,10000,82
153,접시수육,14000,82
154,접시수육(대),41000,82
155,점심한정) 생고기 두루치기,10000,83
156,2인세트,30000,83
157,닭갈비,3000,84
158,닭통뼈,10000,84
159,삼겹두부김치,12900,85
160,새우멘보샤,11900,85
161,버섯칼국수,9000,86
162,버섯샤브칼국수,13000,86
163,크렌베리바게트,3200,87
164,치즈치아바타,3000,87
165,리얼레몬에이드,6000,88
166,반반치킨,16000,89
167,순살청양마요치킨,20000,89
168,김치볶음밥,7000,90
169,멕시칸 라이스,8000,90
170,치킨라이스(데리야끼/고추장/마라)1인,9000,92
171,연어알쌈,15000,93
172,치즈닭갈비,16000,93
173,비건오트라떼,3800,94
174,아샷추,3600,94
175,스텔라맥주 나초 SET,49000,95
176,카스/카프리,7000,95
177,브루잉커피,6000,95
178,RBC크림라떼,6000,95
179,?(Seasonal Berverage),6500,95
180,닭강정,3900,96
181,쌀떡볶이,3500,96
182,닭강정,3900,96
183,쌀떡볶이,3500,96
184,식사류,7000-9000,98
185,안주류,12000~2000,98
186,마드리 짜장,6000,99
187,마드리 짬뽕,7000,99
188,홉고블린 골든에일대표,8000,100
189,올드 라스푸틴 임페리얼 스타우트,12000,100
190,바닐라라떼,3500,101
191,아메리카노,2000,101
192,초코케이크,7000,102
193,레몬파이,6500,102
194,돈코츠라멘,9500,103
195,차슈 덮밥,9500,103
196,파전,12000,104
197,고추장돼지고기볶음,12000,104
198,김치전,12000,105
199,제육볶음,13000,105
200,잡채밥(보통),9500,106
201,전통고기짬뽕(보통),10000,106
202,만복삼겹살,14000,107
203,만복특허목살,14000,107
204,만복뒷고기,13000,107
205,싸이플렉스 버거,7700,108
206,아라비아따치즈 버거,7100,108
207,연어간장밥,10000,109
208,새우간장밥,10000,109
209,연어포케,10000,109
210,빅맥 세트,6100,110
211,맥스파이시 상하이 버거 세트,6100,110
212,아메리카노,1500,111
213,헤이즐넛 아메리카노,2500,111
214,아메리카노,1500,112
215,아이스아메리카노,2000,112
216,아메리카노,3000,112
217,카페라떼,3500,112
218,맥미라떼,6000,114
219,레몬딜케이크,7500,114
220,김치가츠나베,12000,115
221,멘부리벤또,15000,115
222,빠네 파스타,14500,116
223,치즈 피자,14900,116
224,항정살덮밥,9900,117
225,오야꼬동,8900,117
226,소고기쌀국수 R,8500,118
227,묘한 마라전골,16900,119
228,유린기,13900,119
229,왕갈비탕,13000,120
230,진설화생등심,40000,120
231,브리치즈&바질 파스타,22800,121
232,살치살 스테이크,43800,121
233,멸치국수,6000,122
234,비빔국수,6000,122
235,삿포르식 시그니처 프렌치랙,36000,123
236,호르몬나베(한국식),20000,123
237,두부짜글이,8000,124
238,묵은지김치찜,10000,124
239,해물김치전,14000,125
240,칼국수,9000,125
241,브리오슈프렌치토스트,12000,126
242,깻잎페스토 푸질리,13000,126
243,고기국밥,7000,128
244,보쌈정식,9000,128
245,소고기 야채볶음,38000,129
246,탕수육,18000,129
247,볼볼치즈덮밥정식,10000,130
248,토마토치즈고기덮밥정식,9000,130
249,후라이드+양념,24000,131
250,후라이드+간장,24000,131
251,치킨 감자 브리또,6000,132
252,소고기 라이스 브리또,6000,132
253,1인아구찜(계란찜미포함),20900,134
254,1인순살아구찜(동치미.계란찜미포함),23000,134
255,뼈다귀해장국,9000,135
256,뼈다귀전골,43000,135
257,오돌뼈,13000,136
258,순대볶음,13000,136
259,시그니처362+음료,11000,137
260,매콤칠리통새우반미,8000,137
261,마라반,12000,138
262,마라샹궈,15000,138
263,흑삼겹살(국내산/200g),15000,139
264,가정식 아침식사,6000,139
265,마라탕(소),10000,140
266,마라샹궈(소),15000,140
267,마제소바,9900,141
268,돈카츠(등심카츠),10500,141
269,등심+치즈카츠,11500,142
270,안심+안심카츠,12000,142
271,콰트로치즈 큐브스테이크 와퍼 세트,13400,143
272,큐브 스테이크 와퍼 세트,12400,143
273,블랙밀크티,2700,144
274,우롱밀크티,2900,144
275,버터치킨,9800,145
276,프라운 마크니,9800,145
277,순대국,8000,146
278,병천순대,20000,146
279,순대국,8000,146
280,수육,20000,146
281,칼국수,9000,147
282,수제비,9000,147
283,마라부대볶음 시티락,9900,148
284,바싹불고기 시티락,8200,148
