id	restaurant_name	img	description	location_id
1	35키친	./img/1.jpg	안녕하세요 타코라이스맛집 35키친입니다! 저희 35키친은 맛있는 음식을 가성비 있게 제공합니다. 조용하고 편안한 분위기에 기분좋게 식사와 술이 가능합니다.	6
2	38포차	./img/2.jpg	안암 맥주, 호프	0
3	56st	./img/3.jpg	안암 요리주점	0
4	59쌀피자 고대사거리점	./img/4.jpg	풍성한 토핑과, 신선한 재료, 두툼하게 깔린 100% 자연산 치즈, 다양한 종류의 도우로 다른 피자브랜드와 차별화된 맛으로 승부하는 59피자고대사거리점입니다.	5
5	59쌀피자 안암오거리점	./img/5.jpg	59쌀피자 안암오거리점 입니다. 오거리 피자의 선두주자! 배달도 가능합니다. 이제 따듯하게 집에서 피자를 드세요!	1
6	88왕대포	./img/6.jpg	을지로철공소골목을 모티브로한 새로운 컨셉의 술집(포차)	0
7	가마치통닭 서울고대점	./img/7.jpg	통닭의 검증을 마치다! 가마치통닭 입니다.	1
8	강다짐 고대점	./img/8.jpg	참살이 삼각김밥	0
9	거거다황먼지 본점	./img/9.jpg		4
10	거품	./img/10.jpg		2
11	결찌	./img/11.jpg	직접 일주일간 시즈닝 후 훈연조리한 수제베이컨과 8시간이상 훈연조리한 풀드포크로 이루어진 플래터와 다양한 매력적인 안주가 있는 정성이 있는 무국적술집입니다.	5
12	고고인디안쿠진	./img/12.jpg	인도 커리	0
13	고기듬뿍미트박스	./img/13.jpg		3
14	고대로찌개집	./img/14.jpg	매일 신선하고 품질 높은 재료를 사용하고 마장동에서 직접 공수한 생고기를 아낌없이 사용하고 칼칼하고 시원한 김치찌개를 제공합니다. 맛 뿐만 아니라 편안한 분위기와 친절한 서비스로 가족,친구, 동료와 함께 편안한 식사를 즐길수 있도록 최선을 다하겠습니다	4
15	고대루반점	./img/15.jpg	가성비가 좋은 것으로 인기 있는 중식당입니다. 	1
16	고대멸치국수	./img/16.jpg	시원한 국물의 고대멸치국수! 잔치국수 비빔국수 열무국수 떡볶이 김밥 떡만두국 쫄면. 부담 없이 오셔서 맛있는 국수 김밥 떡볶이 드셔 보십시오!	5
17	고대사랑	./img/17.jpg	서울 동대문구 제기동 고려대학교 안암캠퍼스 앞골목에 자리한 식당 고대사랑입니다. 새벽부터 운영하여 아침식사를 할 수 있습니다. 곰탕, 닭곰탕, 설렁탕, 김치찌개, 제육볶음, 삼겹살, 백반 등 다양한 메뉴를 판매하고 있습니다.	4
18	고대생선구이	./img/18.jpg	다양한 생선요리	0
19	고대서서갈비	./img/19.jpg	안암 소갈비 전문점	0
20	고대인의 먹거리집	./img/20.jpg	머릿고기 오소리감투 수육 내장 국밥	0
21	고래돈가스 고대점	./img/21.jpg		4
22	고려대학교 교우회관 학생식당	./img/22.jpg		3
23	고려성	./img/23.jpg	연중 무휴 안암동 100석 중식당. 성북구 안암동에 위치한 고려대학교 대표 중화요리 중식 전문점 고려성입니다.	1
24	고른햇살	./img/24.jpg	치즈라볶이와 참치김밥이 맛있는곳	2
25	고씨네 고려대점	./img/25.jpg	고대 맛집 고씨네 카레 입니다 고려대 학생들 뿐만 아니라 주변 거주민들, 유동인구에게도 인기가 좋은 무한리필식 카레 체인점이니 언제든 부담없이 찾아주세요 ^^	4
26	고품콩	./img/26.jpg	맛있는 고기와 특유의 콩나물 무침 및 차돌소스	0
27	골드케밥	./img/27.jpg	옆살이 터키음식전문점	0
28	골목집	./img/28.jpg	민속주점같은 외관과 분위기의 주점	0
29	곰이네국밥집	./img/29.jpg	가성비가 좋은 것으로 인기 있는 국밥 전문점입니다. 	5
30	공차	./img/30.jpg	공차 고대 안암점	0
31	광동수산조개구이	./img/31.jpg		3
32	광주식당감자탕	./img/32.jpg	안녕하세요, 광주식당입니다. 정갈한 맛과 정성스런 상차림, 최고의 서비스로 모시는 광주식당, 맛 집의 대명사. 광주식당은 감자탕의 화려한 맛에 더해 넓은 주차장과 품위 있고 아늑한 실내 인테리어에 넉넉한 인심까지. 광주식당은 우리의 입맛과 눈길, 마음을 사로잡기에 충분합니다. 	4
33	교촌치킨 안암점	./img/33.jpg	Real Flavor, True Story. 우리의 정직한 이야기가 담긴, 정직한 맛을 소비자에게 전달하겠다는 이 슬로건은 교촌치킨이 지키고 이끌어나가야 할 약속입니다.	5
34	구식냉삼식당	./img/34.jpg	당일 도축 /당일 생산된 생삼겹살 중 지방과 고기 비율이 골고루 퍼져 있는 것만 선별하여 급냉시켜 판매하고 있습니다.	0
35	국밥대학	./img/35.jpg	국밥대학은 호주산 프리미엄 순혈와규를 사용해 소고기국밥을 만들고 있습니다!	4
36	국수랑	./img/36.jpg		3
37	국수먹는꼴뚜기	./img/37.jpg	40여년간 한결같이 고대인의 입맛을 사로잡은 꼴뚜기집	0
38	국수사랑	./img/38.jpg	따뜻한 집밥의 느낌으로 건강하고, 정성스럽게 음식을 준비합니다.	4
39	근처식당	./img/39.jpg	종암동 동남아 요리 맛집 근처식당	3
40	금복식당	./img/40.jpg	최고의 맛과 기대이상의 양을 자랑하는 금복찌개, 제육볶음, 순두부찌개, 부대찌개 꼭 드셔보세요.밥 추가는 무료! 직접 양만큼 떠드시면 됩니다. 단, 1인 1메뉴 원칙!!^^	4
41	김가네 안암점	./img/41.jpg	음식이 맛있는 것으로 인기 있는 분식집입니다. 	1
42	김가네왕족발	./img/42.jpg	안녕하세요. 저희 가게를 이용해주셔서 감사합니다. 고객님께 최고의 맛을 제공하기 위해 노력하여 항상 맛있는 음식과 정성을 다한 서비스로 만족드리도록 최선을 다하겠습니다.	5
43	김밥천국 안암역점	./img/43.jpg		2
44	김밥천국 안암점	./img/44.jpg	가성비가 좋은 것으로 인기 있는 분식집입니다. 	0
45	까페J	./img/45.jpg	안암동 아늑한 구석에 자리한 cafe J입니다.	2
46	꼬꼬아찌	./img/46.jpg	안암 숯불치킨요리 전문점	0
47	꼬이치킨	./img/47.jpg	맛있는 치킨을 먹을 수 있는 곳입니다	1
48	꽌부이	./img/48.jpg	리우 분보 싸오 맛집	2
49	꿀삐닭강정 안암점	./img/49.jpg	고대병원 인근에 위치하는 닭강정 전문점입니다. 	6
50	끄트머리집 안암점	./img/50.jpg	끄트머리집 이전오픈 하였습니다! 브레이크타임 없습니다 ^^ 혼밥 환영합니다!	0
51	나그네파전	./img/51.jpg	파전과 막걸리	0
52	남이네 분식	./img/52.jpg	옆살이 분식집	0
53	내가찜한닭	./img/53.jpg	참살이 찜닭 전문	0
54	넘버85	./img/54.jpg	뒷살이길 중식당	0
55	노랑통닭	./img/55.jpg	노랑통닭 고대점	0
56	노브랜드버거 안암점	./img/56.jpg	노브랜드버거 고려대점입니다.	0
57	늑대식당	./img/57.jpg	안암 숯불 화로 구이 전문점 늑대식당	0
58	늘,안암	./img/58.jpg	늘 한결같은 맛과 서비스를 제공하는 안암동 대표 한식주점.	0
59	늘보라멘	./img/59.jpg	주차불가	3
60	니뽕내뽕	./img/60.jpg	참살이 크림짬뽕	0
